image_name| comment_number| comment
1289951084.jpg| 0| Người phụ nữ mặc quần áo sọc xanh và trắng nằm trên ghế với chiếc túi màu vàng, tay cầm một tờ giấy gấp.
1289951084.jpg| 1| Một người phụ nữ đang cầm một chiếc túi màu vàng đang ngồi trên ghế trong một cửa hàng.
1289951084.jpg| 2| Một người phụ nữ đang ngồi trên chiếc ghế trắng tại một cửa hàng đồ nội thất.
1289951084.jpg| 3| Một người phụ nữ đang thử một chiếc ghế trong một cửa hàng đồ nội thất.
1289951084.jpg| 4| Người phụ nữ trẻ đang ngả lưng trên ghế tại một cửa hàng Ikea.
130151401.jpg| 0| Một người đàn ông mặc áo sơ mi vàng tươi đang chơi đàn ghi-ta trong khi một người đàn ông khác đang chơi trống ở phía sau.
130151401.jpg| 1| Một tay guitar mặc áo sơ mi Hawaii đang chơi trên sân khấu với một tay trống phía sau.
130151401.jpg| 2| Một người đàn ông mặc áo sơ mi Hawaii đang chơi đàn guitar điện màu cam trên sân khấu.
130151401.jpg| 3| Một người đàn ông mặc áo sơ mi sặc sỡ và đeo kính đang chơi guitar trên sân khấu.
130151401.jpg| 4| Một chàng trai mặc áo sơ mi Hawaii đang chơi guitar.
133280430.jpg| 0| Hai người đàn ông Mỹ gốc Phi mặc áo ghi lê, trong khi một người đàn ông Mỹ gốc Phi mặc áo sơ mi xanh có biểu tượng đang chỉ đạo mọi người hoặc máy móc.
133280430.jpg| 1| Ba người đàn ông Mỹ gốc Phi mặc một loại đồng phục nào đó để làm việc trong một con hẻm.
133280430.jpg| 2| Ba người đàn ông mặc đồng phục công sở đứng cạnh một tòa nhà.
133280430.jpg| 3| Ba người đàn ông Mỹ gốc Phi thuộc tầng lớp lao động đang ở bên ngoài.
133280430.jpg| 4| Ba người đàn ông da đen bên ngoài một tòa nhà.
1348891916.jpg| 0| Một chú chó nâu được xích chạy qua dòng nước trắng.
1348891916.jpg| 1| Một chú chó rám nắng được xích chạy trong vùng nước biển nông.
1348891916.jpg| 2| Một chú chó ướt được xích đang chạy qua một vũng nước.
1348891916.jpg| 3| Chú chó nâu chạy qua vùng nước nông.
1348891916.jpg| 4| Một chú chó ướt sũng đang chơi đùa trong nước.
2065309381.jpg| 0| Một người trượt ván đang trượt xuống sườn đồi phủ tuyết.
2065309381.jpg| 1| Một người trượt tuyết đang nhanh chóng xuống một ngọn đồi phủ đầy tuyết dốc.
2065309381.jpg| 2| Một người đàn ông đang trượt ván xuống một ngọn núi phủ đầy tuyết.
2065309381.jpg| 3| Mặt trời chiếu sáng phía trên tuyết và cây cối.
2065309381.jpg| 4| Người trượt ván đang trượt xuống một ngọn đồi mới.
2100610920.jpg| 0| Một người phụ nữ đang thử chiếc Sari màu cam mà những người đàn ông vừa mới may xong đang chờ đợi cô.
2100610920.jpg| 1| Hai người đàn ông Ấn Độ và một người phụ nữ Ấn Độ đang ở bên ngoài hiên nhà.
2100610920.jpg| 2| Một người phụ nữ mặc quần áo màu cam.
2100610920.jpg| 3| Một người phụ nữ mặc váy cam đang nhuộm sợi.
2100610920.jpg| 4| Một người phụ nữ mặc đồ màu cam đang làm việc bên cạnh khung cửi.
2151514290.jpg| 0| Một người phụ nữ mặc áo khoác lót lông cừu màu nâu và đi bốt xanh đang quan sát một hoạt động nào đó trên cao trên một con phố yên tĩnh.
2151514290.jpg| 1| Một người phụ nữ với mái tóc nâu dài và mặc áo khoác mùa đông đang nhìn lên bên cạnh những ô cửa sổ kính lớn.
2151514290.jpg| 2| Một người phụ nữ tóc đen mặc áo khoác nâu nhìn bầu trời qua cửa sổ vỡ.
2151514290.jpg| 3| Một người phụ nữ đang nhìn ra bầu trời qua cửa sổ.
2151514290.jpg| 4| Cô gái mặc áo khoác nâu đang nhìn lên.
2206501278.jpg| 0| Một phù rể trong đám cưới đang thể hiện kỹ năng lắc vòng trước ống kính máy quay và phù dâu.
2206501278.jpg| 1| Một người đàn ông mặc áo tuxedo đang lắc vòng trong khi các phù dâu và những người khác đứng xem.
2206501278.jpg| 2| Các phù dâu mặc váy vàng và những người khác đang xem một người đàn ông mặc vest lắc vòng.
2206501278.jpg| 3| Cuộc thi lắc vòng tại tiệc cưới khiến khách dự tiệc cưới vui vẻ.
2206501278.jpg| 4| Chú rể lắc vòng sau lễ cưới trong khi các phù dâu đứng xem.
2341850464.jpg| 0| Một ông già đội mũ rơm và cầm ô đang mỉm cười trong khi ngồi và ngắm nhìn thứ gì đó ở đằng xa.
2341850464.jpg| 1| Một người đàn ông lớn tuổi ngồi ngoài trời nắng và ngắm thứ gì đó dưới chiếc ô của mình.
2341850464.jpg| 2| Một ông già đang ngắm cảnh dưới chiếc ô để tránh ánh nắng mặt trời.
2341850464.jpg| 3| Một ông già mặc áo sơ mi đỏ và đeo kính đang ngồi dưới một chiếc ô.
2341850464.jpg| 4| Ông già mặc áo sơ mi đỏ với chiếc ô bạc.
2600170955.jpg| 0| một cậu bé mặc áo sơ mi xanh đang đẩy xe đẩy hàng trong đó có một cậu bé mặc áo sơ mi vàng.
2600170955.jpg| 1| Một cậu bé đẩy xe đẩy hàng với một cậu bé nhỏ hơn đang đứng trong đó.
2600170955.jpg| 2| Một cậu bé nhiệt tình đẩy xe đẩy hàng có một cậu bé đang mỉm cười.
2600170955.jpg| 3| Hai cậu bé đang chơi trong một chiếc xe đẩy hàng ở bãi đậu xe.
2600170955.jpg| 4| Hai cậu bé đang chơi với một chiếc xe đẩy hàng trong bãi đậu xe.
2697822530.jpg| 0| Một nhóm sáu người, cả nam lẫn nữ, đang giơ cao một chiếc cột giữa rừng trong khi một người phụ nữ khác theo dõi hành động này.
2697822530.jpg| 1| Một nhóm người lớn được một quý ông lớn tuổi hướng dẫn trong một bài tập liên quan đến nỗ lực chung để giữ ổn định một thanh dài.
2697822530.jpg| 2| Một nhóm người quay mặt vào nhau và nhét ngón tay vào một loại ống nào đó.
2697822530.jpg| 3| Một nhóm phụ nữ và đàn ông đang cùng nhau lắp đặt đường ống dưới lòng đất.
2697822530.jpg| 4| Một nhóm người đang cầm một vật dài và gầy.
2715289538.jpg| 0| Một cậu bé đang cố thổi một bong bóng lớn bằng một chiếc nhẫn kim loại khổng lồ.
2715289538.jpg| 1| Người đàn ông trẻ mặc áo sơ mi xanh đang nhìn qua một bong bóng lớn.
2715289538.jpg| 2| Cậu bé mặc áo sơ mi xanh đang thổi một bong bóng lớn.
2715289538.jpg| 3| một cậu bé tóc đỏ đeo kính đang thổi một bong bóng lớn
2715289538.jpg| 4| Một người đàn ông đang thổi một bong bóng lớn.
2759625199.jpg| 0| Một lớp học có nhiều trẻ em ngồi nghe giáo viên mặc áo sơ mi đen và quần jean xanh giảng bài.
2759625199.jpg| 1| Trẻ em đang ngồi ở một chiếc bàn dài màu nâu trước một bảng thông báo.
2759625199.jpg| 2| Trẻ em được ba người lớn giám sát trong môi trường học tập.
2759625199.jpg| 3| Trẻ em ăn ở chiếc bàn dài có ghế màu đen.
2759625199.jpg| 4| Trẻ em ngồi trong lớp học.
282131366.jpg| 0| Một người phụ nữ đang cố gắng đi trên dây trong khi có nhiều người đứng xem gần một hồ nước có bờ đá phản chiếu ánh mặt trời.
282131366.jpg| 1| Cô gái lấy lại bình tĩnh trong cảnh hoàng hôn với một người đàn ông ở phía sau
282131366.jpg| 2| Một người phụ nữ đang đi trên sợi dây thừng bên một khe nứt khi mặt trời lặn.
282131366.jpg| 3| Người phụ nữ đang nhảy múa trên bờ hồ lúc chạng vạng.
282131366.jpg| 4| Một người phụ nữ nghiêng người về bên phải khi mặt trời lặn.
2956835181.jpg| 0| Hai người lính mặc đồ rằn ri đang nhận thức ăn từ một người phụ nữ mặc đồ trắng trong khi hai người khác cũng mặc đồ trắng đứng sau quầy theo dõi.
2956835181.jpg| 1| Những người lính mặc đồng phục đang xếp hàng trong căng tin, nhận thức ăn mà họ đã chọn.
2956835181.jpg| 2| Các thành viên quân đội đang được phục vụ tại một căng tin.
2956835181.jpg| 3| Hai người lính đang dùng bữa tại một cơ sở ăn uống.
2956835181.jpg| 4| Hai người lính đang ăn cơm.
3576741633.jpg| 0| Một cậu bé đang ở trên không trung biểu diễn một trò trượt ván tại một công viên trượt ván trong khi hai người phụ nữ và một đứa trẻ đi bộ phía sau cậu bé.
3576741633.jpg| 1| Một người trượt ván đang biểu diễn một trò ảo thuật trong công viên trượt ván.
3576741633.jpg| 2| Một cậu bé mặc quần jean xanh đang trượt ván.
3576741633.jpg| 3| Một chàng trai trẻ đang biểu diễn những pha nhào lộn trên ván trượt.
3576741633.jpg| 4| Mua ván trượt tại công viên trượt ván.
3576741633.jpg| 0| Một cậu bé đang ở trên không trung biểu diễn một trò trượt ván tại một công viên trượt ván trong khi hai người phụ nữ và một đứa trẻ đi bộ phía sau cậu bé.
3576741633.jpg| 1| Một người trượt ván đang biểu diễn một trò ảo thuật trong công viên trượt ván.
3576741633.jpg| 2| Một cậu bé mặc quần jean xanh đang trượt ván.
3576741633.jpg| 3| Một chàng trai trẻ đang biểu diễn những pha nhào lộn trên ván trượt.
3576741633.jpg| 4| Mua ván trượt tại công viên trượt ván.
4644613185.jpg| 0| Một người đàn ông có râu đội mũ đen, mặc áo sơ mi đen tay ngắn và quần xanh đang mang một chiếc túi có họa tiết cờ Liên hiệp Vương quốc Anh và đi ngang qua phòng trưng bày nghệ thuật Mooch Art ở Manchester, Vương quốc Anh.
4644613185.jpg| 1|" Một người đội mũ đen và đeo túi Union Jack đi trên vỉa hè đi ngang qua một tòa nhà đá cũ, có cửa sổ khung xanh ghi dòng chữ ""mooch art""."
4644613185.jpg| 2|" Một người đàn ông với chiếc túi Union Jack đi nhanh qua hai cửa sổ có dòng chữ ""Mooch Art"" trên đó."
4644613185.jpg| 3| Một người đi bộ với chiếc túi Anh, đang đi bộ gần một cửa hàng nghệ thuật.
4644613185.jpg| 4| Một người đàn ông mang một chiếc túi có họa tiết cờ Anh.
4758481555.jpg| 0| Một cầu thủ bóng rổ mặc áo đấu màu trắng có chữ price, đang thi đấu với một cầu thủ khác mặc đồng phục màu xanh.
4758481555.jpg| 1| có 6 thanh niên đang chơi bóng rổ trong bộ đồng phục xanh và trắng, trong khi mọi người đang theo dõi từ khán đài.
4758481555.jpg| 2| Cầu thủ bóng rổ ở giữa đang giữ bóng và bảo vệ bóng khỏi đội kia.
4758481555.jpg| 3| Một cầu thủ bóng rổ đang bảo vệ quả bóng rổ với nhiều cầu thủ khác ở gần đó.
4758481555.jpg| 4| Một nhóm nam sinh trung học đang chơi bóng rổ bên trong một phòng tập thể dục.
4759111806.jpg| 0| Một người đàn ông đội mũ nâu và mặc áo vest đen đang đi bộ qua một cánh đồng trống trong khi một chiếc máy bay nhỏ đang cất cánh bên cạnh anh ta.
4759111806.jpg| 1| Một người đàn ông lớn tuổi đang đi bộ trên một bãi cỏ rộng lớn với một chiếc máy bay nhỏ ở phía sau sắp hạ cánh.
4759111806.jpg| 2| Một người đàn ông đang đi theo cùng hướng với một chiếc máy bay mô hình đang bay trên đồng cỏ khô.
4759111806.jpg| 3| Một người đàn ông đang đi bộ trên cánh đồng màu nâu với một chiếc máy bay ở phía sau.
4759111806.jpg| 4| Một người đàn ông đang đi bộ bên ngoài trong khi một chiếc máy bay bay ngang qua.
4809240949.jpg| 0| Một cô gái trẻ mặc váy đỏ, cầm đàn ghi-ta đang chơi và hát trên micro.
4809240949.jpg| 1| Một người mặc áo khoác đỏ vừa hát vừa chơi đàn ghi-ta điện.
4809240949.jpg| 2| Một người phụ nữ với mái tóc nâu mềm mại mặc đồ đỏ đang chơi đàn ghi-ta điện.
4809240949.jpg| 3| Một nữ nghệ sĩ guitar đang mặc một chiếc váy đỏ trong một buổi biểu diễn.
4809240949.jpg| 4| một cô gái mặc áo khoác đỏ đang chơi đàn ghi-ta tại hội chợ hoặc rạp xiếc.
4892334228.jpg| 0| Người phụ nữ này đang chạm vào tóc mình khi đứng trước một phông nền màu đỏ và trắng.
4892334228.jpg| 1| Một cô gái mặc áo sơ mi trắng đang cầm thứ gì đó trên tay và quay lại.
4892334228.jpg| 2| Một người đàn ông da ngăm đen đứng trước nền đỏ, đen và trắng rực rỡ.
4892334228.jpg| 3| Người đi xe đạp này đang nghỉ ngơi dưới bóng râm bên cạnh bức tường màu đỏ tươi.
